"SYMBOL_CODE","Date","TRADE_VOLUME","TRADE_VALUE","TRADE_COUNT","Open","HIGH_PRICE","LOW_PRICE","Close"
"EGS33041C012",01/02/13 12:00 AM,294968,6898653.75,88,24,24.1,23.3,23.39
"EGS33041C012",01/03/13 12:00 AM,171442,4148795.12,307,24,24.65,24,24.2
"EGS33041C012",01/06/13 12:00 AM,21793,523036.3,34,24.01,24.01,23.99,24
"EGS33041C012",01/08/13 12:00 AM,41324,984017.22,58,23.99,24,23.36,23.81
"EGS33041C012",01/09/13 12:00 AM,39909,945594.2,48,23.81,23.99,23.5,23.69
"EGS33041C012",01/10/13 12:00 AM,19600,460116.06,19,23.6,23.6,23.3,23.48
"EGS33041C012",01/13/13 12:00 AM,4872,114345,9,23.31,23.51,23.31,23.47
"EGS33041C012",01/14/13 12:00 AM,16803,394708.71,27,23.5,23.5,23.41,23.49
"EGS33041C012",01/15/13 12:00 AM,60078,1423800.05,35,23.12,23.95,23,23.7
"EGS33041C012",01/16/13 12:00 AM,3100,73266,8,23.74,23.74,23.5,23.63
"EGS33041C012",01/17/13 12:00 AM,14332,336814.01,27,23.51,23.51,23.5,23.5
"EGS33041C012",01/20/13 12:00 AM,4389,102346.4,18,23.06,23.57,23.06,23.32
"EGS33041C012",01/21/13 12:00 AM,2033,47239.41,6,22.61,23.3,22.61,23.24
"EGS33041C012",01/22/13 12:00 AM,39491,928427.6,22,23.45,23.7,23.45,23.51
"EGS33041C012",01/23/13 12:00 AM,33449,786442.9,28,23.2,23.6,23.2,23.51
"EGS33041C012",01/27/13 12:00 AM,280,6467.4,2,23.1,23.1,23.08,23.51
"EGS33041C012",01/28/13 12:00 AM,3470,80609,8,23.42,23.5,23,23.23
"EGS33041C012",01/29/13 12:00 AM,750,17043,4,22.65,22.8,22.65,22.72
"EGS33041C012",01/30/13 12:00 AM,199299,4544734.06,24,23,23.4,22.8,22.8
"EGS33041C012",01/31/13 12:00 AM,12609,289071.45,17,23,23,22.51,22.93
"EGS33041C012",02/03/13 12:00 AM,13312,306100.58,24,23,23,22.61,22.99
"EGS33041C012",02/04/13 12:00 AM,18108,415053.64,40,23.39,23.39,22.5,22.92
"EGS33041C012",02/05/13 12:00 AM,13353,307190.8,37,23,23.06,22.99,23.01
"EGS33041C012",02/06/13 12:00 AM,5957,136996.32,16,23,23,22.95,23
"EGS33041C012",02/07/13 12:00 AM,11958,274731,15,23,23,22.7,22.97
"EGS33041C012",02/10/13 12:00 AM,30910,710935.75,27,23,23.1,22.76,23
"EGS33041C012",02/11/13 12:00 AM,35078,806763.9,51,22.93,23,22.66,23
"EGS33041C012",02/12/13 12:00 AM,7048,164900.7,12,23.3,23.4,23.3,23.4
"EGS33041C012",02/13/13 12:00 AM,3875,89069.5,12,22.9,23.01,22.87,22.99
"EGS33041C012",02/14/13 12:00 AM,15928,366345.5,27,23.01,23.01,22.9,23
"EGS33041C012",02/17/13 12:00 AM,2608,59987.1,7,23.31,23.31,23,23
"EGS33041C012",02/18/13 12:00 AM,9208,211770.56,22,23,23,22.76,23
"EGS33041C012",02/19/13 12:00 AM,14238,327474,18,23,23,23,23
"EGS33041C012",02/20/13 12:00 AM,23394,537625,39,23,23,22.85,22.98
"EGS33041C012",02/21/13 12:00 AM,24259,551434.1,47,23,23,22.56,22.73
"EGS33041C012",02/24/13 12:00 AM,31482,723464.16,62,23.28,23.5,22.5,22.98
