"SYMBOL_CODE","Date","TRADE_VOLUME","TRADE_VALUE","TRADE_COUNT","Open","HIGH_PRICE","LOW_PRICE","Close"
"EGS3C181C012",01/02/13 12:00 AM,10479,236337.3,18,22.5,22.69,22.05,22.55
"EGS3C181C012",01/03/13 12:00 AM,1890,42591.5,8,22.55,22.55,22.2,22.54
"EGS3C181C012",01/06/13 12:00 AM,2257,50205.67,8,22.5,22.5,22.01,22.24
"EGS3C181C012",01/08/13 12:00 AM,545,11939.95,3,22,22,21.87,21.91
"EGS3C181C012",01/09/13 12:00 AM,1782,39146.32,6,22.01,22.01,21.92,21.97
"EGS3C181C012",01/10/13 12:00 AM,22540,494907.15,21,21.7,22,21.65,21.96
"EGS3C181C012",01/14/13 12:00 AM,72940,1596624.22,69,21.5,22,21.05,21.89
"EGS3C181C012",01/15/13 12:00 AM,35067,768040.5,30,21.99,22,21.9,21.9
"EGS3C181C012",01/16/13 12:00 AM,1400,30800,6,22,22,22,22
"EGS3C181C012",01/17/13 12:00 AM,10754,237553.35,20,22.25,22.65,21.89,22.09
"EGS3C181C012",01/20/13 12:00 AM,1615,35195.1,8,22.37,22.38,21.66,21.79
"EGS3C181C012",01/21/13 12:00 AM,27,568.62,1,21.06,21.06,21.06,21.79
"EGS3C181C012",01/22/13 12:00 AM,9343,204902.05,17,21.55,22.25,21.55,21.93
"EGS3C181C012",01/23/13 12:00 AM,19611,432390.58,27,22,22.2,21.61,22.05
"EGS3C181C012",01/27/13 12:00 AM,5906,130852.02,17,22.55,22.59,21.75,22.16
"EGS3C181C012",01/28/13 12:00 AM,12363,263723.72,26,21.26,21.5,21.01,21.33
"EGS3C181C012",01/29/13 12:00 AM,51813,1108150.76,22,21.33,21.51,21.02,21.39
"EGS3C181C012",01/30/13 12:00 AM,3309,71154.38,10,21.56,21.56,21.32,21.5
"EGS3C181C012",01/31/13 12:00 AM,13000,285511.7,19,21.5,22,21.5,21.96
"EGS3C181C012",02/03/13 12:00 AM,2528,55657.06,9,21.53,22.57,21.53,22.02
"EGS3C181C012",02/04/13 12:00 AM,20837,461518.99,26,22.5,22.59,22,22.15
"EGS3C181C012",02/05/13 12:00 AM,3000,65190,3,21.73,21.73,21.73,21.73
"EGS3C181C012",02/06/13 12:00 AM,3275,71483.5,6,21.73,22.18,21.62,21.83
"EGS3C181C012",02/07/13 12:00 AM,2097,46260.63,9,21.75,22.29,21.75,22.06
"EGS3C181C012",02/10/13 12:00 AM,5509,121276.03,25,22.5,22.5,21.9,22.01
