"SYMBOL_CODE","Date","TRADE_VOLUME","TRADE_VALUE","TRADE_COUNT","Open","HIGH_PRICE","LOW_PRICE","Close"
"EGS48031C016",01/02/13 12:00 AM,742192,10760813.36,346,14.2,14.58,14.2,14.5
"EGS48031C016",01/03/13 12:00 AM,659245,9540410.34,400,14.36,14.54,14.3,14.47
"EGS48031C016",01/06/13 12:00 AM,657748,9532597.93,348,14.35,14.52,14.35,14.49
"EGS48031C016",01/08/13 12:00 AM,762240,11182074.69,538,14.48,14.93,14.32,14.67
"EGS48031C016",01/09/13 12:00 AM,838660,12528344.92,592,14.89,15.11,14.77,14.94
"EGS48031C016",01/10/13 12:00 AM,548444,8018909.83,541,15.25,15.25,14.55,14.62
"EGS48031C016",01/13/13 12:00 AM,200979,2929120.96,229,14.52,14.61,14.5,14.57
"EGS48031C016",01/14/13 12:00 AM,244340,3571166.25,259,14.54,14.72,14.5,14.62
"EGS48031C016",01/15/13 12:00 AM,843646,12276511.53,524,14.59,14.67,14.42,14.55
"EGS48031C016",01/16/13 12:00 AM,1104183,16200657.21,364,14.6,14.85,14.59,14.67
"EGS48031C016",01/17/13 12:00 AM,870773,12693914.14,252,14.7,14.8,14.31,14.58
"EGS48031C016",01/20/13 12:00 AM,851910,12310446.72,442,14.5,14.6,14.21,14.45
"EGS48031C016",01/21/13 12:00 AM,1371562,19632491.98,378,14.2,14.4,14.2,14.31
"EGS48031C016",01/22/13 12:00 AM,501996,7277903.81,322,14.35,14.78,14.35,14.5
"EGS48031C016",01/23/13 12:00 AM,475211,6871622.79,527,14.35,14.66,14.35,14.46
"EGS48031C016",01/27/13 12:00 AM,1027338,15218868.32,374,14.4,15,14.3,14.81
"EGS48031C016",01/28/13 12:00 AM,1164047,17019700.6,309,15,15,14.5,14.62
"EGS48031C016",01/29/13 12:00 AM,1617161,23263977.45,495,14.53,14.85,14.2,14.39
"EGS48031C016",01/30/13 12:00 AM,192336,2789490.77,151,14.47,14.6,14.4,14.5
"EGS48031C016",01/31/13 12:00 AM,449035,6509856.01,239,14.46,14.6,14.3,14.5
"EGS48031C016",02/03/13 12:00 AM,309431,4526635.87,229,14.62,14.7,14.39,14.63
"EGS48031C016",02/04/13 12:00 AM,970171,14358799.69,436,14.63,15,14.6,14.8
"EGS48031C016",02/05/13 12:00 AM,345853,5118184.95,171,14.8,14.99,14.69,14.8
"EGS48031C016",02/06/13 12:00 AM,519977,7587448.89,304,14.61,14.88,14.41,14.59
"EGS48031C016",02/07/13 12:00 AM,232992,3415822.76,171,14.43,14.8,14.43,14.66
"EGS48031C016",02/10/13 12:00 AM,253788,3707274.09,219,14.53,14.68,14.53,14.61
"EGS48031C016",02/11/13 12:00 AM,727145,10698526.99,344,14.46,14.77,14.45,14.71
"EGS48031C016",02/12/13 12:00 AM,570549,8421326.06,184,14.64,14.8,14.62,14.76
"EGS48031C016",02/13/13 12:00 AM,957780,14079131.14,206,14.67,14.73,14.62,14.7
"EGS48031C016",02/14/13 12:00 AM,627777,9226652.72,266,14.61,14.8,14.6,14.7
"EGS48031C016",02/17/13 12:00 AM,332267,4857362.71,216,14.79,14.79,14.57,14.62
"EGS48031C016",02/18/13 12:00 AM,259895,3798097.01,197,14.6,14.7,14.59,14.61
"EGS48031C016",02/19/13 12:00 AM,632396,9242738.16,435,14.55,14.7,14.51,14.62
"EGS48031C016",02/20/13 12:00 AM,631919,9211551.79,462,14.52,14.65,14.46,14.58
"EGS48031C016",02/21/13 12:00 AM,929027,13603403.49,428,14.5,14.76,14.5,14.64
"EGS48031C016",02/24/13 12:00 AM,509985,7422342.39,260,14.61,14.69,14.26,14.55
"EGS48031C016",02/25/13 12:00 AM,169751,2432546.5,210,14.32,14.55,14.25,14.33
"EGS48031C016",02/26/13 12:00 AM,153564,2192058.8,191,14.33,14.4,14.2,14.27
"EGS48031C016",02/27/13 12:00 AM,446284,6282762.09,344,14.29,14.29,13.82,14.08
"EGS48031C016",02/28/13 12:00 AM,658964,9150617.13,557,13.9,14.21,13.63,13.89
"EGS48031C016",03/03/13 12:00 AM,754191,10403839.61,233,13.5,13.81,13.5,13.79
"EGS48031C016",03/04/13 12:00 AM,969771,13346097.03,363,13.89,13.89,13.5,13.76
"EGS48031C016",03/05/13 12:00 AM,259073,3513093.52,189,13.61,13.69,13.43,13.56
"EGS48031C016",03/06/13 12:00 AM,752699,10195835.78,208,13.5,13.6,13.43,13.55
"EGS48031C016",03/07/13 12:00 AM,963346,13056646.21,407,13.52,13.65,13.5,13.55
"EGS48031C016",03/10/13 12:00 AM,200165,2715634.58,164,13.6,13.6,13.52,13.57
"EGS48031C016",03/11/13 12:00 AM,936472,12819302.35,674,13.62,13.8,13.59,13.69
"EGS48031C016",03/12/13 12:00 AM,550300,7516188.77,451,13.7,13.8,13.56,13.66
"EGS48031C016",03/13/13 12:00 AM,1057414,14250759.3,514,13.65,13.65,13.37,13.48
"EGS48031C016",03/14/13 12:00 AM,971714,12859852.61,453,13.5,13.5,13.11,13.23
"EGS48031C016",03/17/13 12:00 AM,265901,3518480.29,266,13.38,13.38,13.17,13.23
"EGS48031C016",03/18/13 12:00 AM,486422,6415323.59,331,13.13,13.25,13.1,13.19
"EGS48031C016",03/19/13 12:00 AM,709321,9297542.58,560,13.2,13.3,13,13.11
"EGS48031C016",03/20/13 12:00 AM,972173,12715715.87,193,13.06,13.1,13.02,13.08
"EGS48031C016",03/21/13 12:00 AM,611134,7991420.87,341,13.15,13.17,13.01,13.08
"EGS48031C016",03/24/13 12:00 AM,189506,2483964.44,141,13.05,13.26,13.05,13.11
"EGS48031C016",03/25/13 12:00 AM,535587,6977955.24,223,13.14,13.14,12.97,13.03
"EGS48031C016",03/26/13 12:00 AM,390943,5041956.5,335,13.02,13.05,12.82,12.9
"EGS48031C016",03/27/13 12:00 AM,877145,11417819.38,464,13,13.1,12.94,13.02
"EGS48031C016",03/28/13 12:00 AM,489296,6476564.22,353,13.5,13.5,13.1,13.24
"EGS48031C016",03/31/13 12:00 AM,164823,2161814.11,192,13.2,13.34,13,13.12
"EGS48031C016",04/01/13 12:00 AM,304775,4014434.48,255,13.17,13.24,13.01,13.17
"EGS48031C016",04/02/13 12:00 AM,323074,4255016.24,318,13.12,13.22,13.01,13.17
"EGS48031C016",04/03/13 12:00 AM,627696,8243636.53,402,13.3,13.3,13.06,13.13
"EGS48031C016",04/04/13 12:00 AM,468253,6200465.69,299,13.2,13.29,13.2,13.24
"EGS48031C016",04/07/13 12:00 AM,294854,3893844.14,206,13.29,13.29,13.14,13.21
"EGS48031C016",04/08/13 12:00 AM,478833,6365447.95,262,13.09,13.4,13.09,13.29
"EGS48031C016",04/09/13 12:00 AM,951653,12811239.06,628,13.39,13.56,13.38,13.46
"EGS48031C016",04/10/13 12:00 AM,512665,6972690.63,366,13.52,13.69,13.52,13.6
"EGS48031C016",04/11/13 12:00 AM,267828,3653772.73,204,13.6,13.7,13.55,13.64
"EGS48031C016",04/14/13 12:00 AM,851191,11691487.25,366,13.62,13.85,13.6,13.74
"EGS48031C016",04/15/13 12:00 AM,319558,4345947.89,273,13.71,13.71,13.56,13.6
"EGS48031C016",04/16/13 12:00 AM,578600,7884334.2,424,13.57,13.75,13.55,13.63
"EGS48031C016",04/17/13 12:00 AM,691413,9472331.08,388,13.7,13.8,13.6,13.7
"EGS48031C016",04/18/13 12:00 AM,786734,10808025.29,430,13.75,13.84,13.67,13.74
"EGS48031C016",04/21/13 12:00 AM,672445,9299216.9,424,13.72,13.89,13.72,13.83
"EGS48031C016",04/22/13 12:00 AM,1353270,17061030.46,671,13.85,13.85,12.45,12.61
"EGS48031C016",04/23/13 12:00 AM,760960,9614465.86,384,12.6,12.75,12.56,12.63
"EGS48031C016",04/24/13 12:00 AM,783666,9869443.04,419,12.6,12.69,12.51,12.59
"EGS48031C016",04/28/13 12:00 AM,752813,9488038.32,274,12.61,12.65,12.56,12.6
"EGS48031C016",04/29/13 12:00 AM,192272,2420634.27,224,12.5,12.62,12.5,12.59
"EGS48031C016",04/30/13 12:00 AM,374580,4730599.38,239,12.6,12.71,12.57,12.63
"EGS48031C016",05/02/13 12:00 AM,630499,7976669.58,343,12.63,12.75,12.6,12.65
"EGS48031C016",05/07/13 12:00 AM,796110,10380060.26,458,12.75,13.25,12.75,13.04
"EGS48031C016",05/08/13 12:00 AM,322084,4233121.82,213,13.06,13.2,13.06,13.14
"EGS48031C016",05/09/13 12:00 AM,541993,7162312.54,323,13.15,13.25,13.15,13.21
"EGS48031C016",05/12/13 12:00 AM,494433,6587896.08,346,13.2,13.5,13.17,13.32
"EGS48031C016",05/13/13 12:00 AM,687697,9214776.02,386,13.4,13.6,13.27,13.4
"EGS48031C016",05/14/13 12:00 AM,717304,9584448.49,318,13.4,13.49,13.26,13.36
